1,C0001175,Acquired  Immunodeficiency Syndrome
2,C0002627,Amniocentesis
3,C0030605,Activated  Partial Thromboplastin  Time measurement
4,C0002962,Angina  Pectoris
5,C0043031,Warfarin
6,C0019682,HIV
7,C0162871,Aortic  Aneurysm, Abdominal
8,C0005767,Blood
9,C2926614,Everdiagnosed by  a doctor as having an abdominal aortic aneurysm:Finding:Point in time:^Patient:Ordinal 
10,C0005768,In  Blood
11,C0229664,peripheral  blood
12,C0023896,Alcoholic  Liver Diseases
13,C0005810,Blood  Group (classification)
14,C0600103,Blood  group transfusion  observation
15,C0003232,Antibiotics
16,C0003280,Anticoagulants
17,C0001122,Acidosis
18,C0003130,Anoxia
19,C0242184,Hypoxia
20,C1963140,Hypoxia  Adverse Event
21,C0220981,Metabolic  acidosis
22,C0226004,Arterial  system
23,C0003842,Arteries
24,C0005953,Bone  Marrow
25,C0012634,Disease
26,C0019080,Hemorrhage
27,C0005791,Apheresis  (procedure)
28,C1515895,Allogeneic
29,C4522247,Allogeneic  Blood Product  Donation
30,C0002871,Anemia
31,C0003241,Antibodies 
32,C3536809,Antihistamine  [EPC]
33,C0003360,Antihistamines
34,C0085430,Blood  Component Transfusion
35,C0450129,Blood  component
36,C1413336,CEL  gene
37,C1948049,Cell  (compartment)
38,C1704653,Cell  Device Component
39,C0007634,Cells
40,C0453946,Coat  (physical object)
41,C0019592,Histamine  H1 Antagonists
42,C3665580,Immunoglobulin  complex location,  circulating
43,C0021027,Immunoglobulins
44,C0237820,Recovery  - action
45,C0085405,Salvage  Therapy
46,C0442967,Salvage  procedure
47,C2709037,ante  partum
48,C0368675,antibody  antigen
49,C0856716,aspirin  asthma
50,C0369095,d  antibody
51,C2976467,EPO  protein, human
52,C0357126,Epoetin  Alfa
53,C0014822,Erythropoietin
54,C0376541,Recombinant  Erythropoietin
55,C1755594,erythropoietin  activity
56,C0007785,Cerebral  Infarction
57,C0015505,Factor  VIIa
58,C0857490,Granulocyte  count
59,C4521391,Granulocytes  Product
60,C0018183,granulocyte
61,C0016006,Fibrinogen
62,C3540039,Fibrinogen  containing hemostatics
63,C1167394,fibrinogen  complex location
64,C2587184,fibrinogen  concentrate (human)
65,C1547245,Blood  Product Code  - Fresh  Frozen Plasma
66,C0016709,Fresh  frozen plasma
67,C0014792,Erythrocytes
68,C0015879,Ferritin
69,C0014772,Red  Blood Cell  Count measurement
70,C0013798,Electrocardiogram
71,C1705651,Electrocardiogram  Domain
72,C1623258,Electrocardiography
73,C2348066,dabigatran
74,C0000941,Accreditation
75,C2732002,Antihemophilic  Factor, Human  Recombinant
76,C0015506,Factor  VIII
77,C1307126,factor  VIII, human
78,C0010825,Cytomegalovirus
79,C0149871,Deep  Vein Thrombosis
80,C0011946,Dialysis  procedure
81,C1059964,Genus  Dialysis
82,C0011945,Physical  Dialysis
83,C0003130,Anoxia
84,C0024117,Chronic  Obstructive Airway  Disease
85,C3245512,HL7PublishingSubSection  <practice>
86,C0242184,Hypoxia
87,C1963140,Hypoxia  Adverse Event
88,C0030667,Pathology,  Clinical
89,C0237607,Practice  Experience
90,C1547561,Authorization  Mode -  Electronic
91,C0012634,Disease
92,C0013850,Electronic
93,C4281784,Electronics  discipline
94,C0013990,Pathological  accumulation of  air in  tissues
95,C0034067,Pulmonary  Emphysema
96,C0005778,Blood  coagulation
97,C0441509,Coagulation  procedure
98,C1328723,Coagulation  process
99,C1554192,ActClass  - consent
100,C0007584,Cell  Count
101,C0007634,Cells
102,C2937358,Cerebral  Hemorrhage
103,C1511481,Consent
104,C0855279,Crossmatch
105,C0012240,Gastrointestinal  system
106,C0205170,Good
107,C0018928,Hematinics
108,C0442123,Intravascular
109,C2960476,Intravascular  Route of  Drug Administration
110,C1706387,Issue  (document)
111,C1141951,Panel-reactive  antibody
112,C0033213,Problem
113,C0443121,cryoprecipitate
114,C1165603,dextrose  solution
115,C0870840,manufacture
116,C1332206,Adult  Lymphoma
117,C1332979,Childhood  Lymphoma
118,C0024299,Lymphoma
119,C0304925,Albumin  Human, USP
120,C0018991,Hemiplegia
121,C0018951,Hematopoiesis
122,C0003130,Anoxia
123,C0413252,Hypothermia  due to  exposure
124,C0020672,Hypothermia,  natural
125,C0242184,Hypoxia
126,C1963140,Hypoxia  Adverse Event
127,C0021289,Infant,  Newborn
128,C0019134,heparin
129,C0770546,heparin,  porcine
130,C1963138,Hypertension  Adverse Event
131,C0020538,Hypertensive  disease
132,C0020649,Hypotension
